Filename,Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId
frame0000.jpg,640,480,475,151,554,228,3
frame0000.jpg,640,480,481,227,507,267,115
frame0000.jpg,640,480,234,242,280,282,38
frame0001.jpg,640,480,475,151,554,228,3
frame0001.jpg,640,480,481,227,507,267,115
frame0001.jpg,640,480,234,242,280,282,38
frame0002.jpg,640,480,475,151,554,228,3
frame0002.jpg,640,480,481,227,507,267,115
frame0002.jpg,640,480,234,242,280,282,38
frame0003.jpg,640,480,475,151,554,228,3
frame0003.jpg,640,480,481,227,507,267,115
frame0003.jpg,640,480,234,242,280,282,38
frame0004.jpg,640,480,475,151,554,228,3
frame0004.jpg,640,480,481,227,507,267,115
frame0004.jpg,640,480,234,242,280,282,38
frame0005.jpg,640,480,475,151,554,228,3
frame0005.jpg,640,480,481,227,507,267,115
frame0005.jpg,640,480,234,242,280,282,38
frame0006.jpg,640,480,475,151,554,228,3
frame0006.jpg,640,480,481,227,507,267,115
frame0006.jpg,640,480,234,242,280,282,38
frame0007.jpg,640,480,475,151,554,228,3
frame0007.jpg,640,480,481,227,507,267,115
frame0007.jpg,640,480,234,242,280,282,38
frame0008.jpg,640,480,475,151,554,228,3
frame0008.jpg,640,480,481,227,507,267,115
frame0008.jpg,640,480,234,242,280,282,38
frame0009.jpg,640,480,475,151,554,228,3
frame0009.jpg,640,480,481,227,507,267,115
frame0009.jpg,640,480,234,242,280,282,38
frame0010.jpg,640,480,475,151,554,228,3
frame0010.jpg,640,480,481,227,506,266,115
frame0010.jpg,640,480,403,227,419,251,115
frame0010.jpg,640,480,234,242,280,282,38
frame0010.jpg,640,480,339,234,356,252,38
frame0011.jpg,640,480,475,151,554,228,3
frame0011.jpg,640,480,481,227,507,267,115
frame0011.jpg,640,480,403,227,419,251,115
frame0011.jpg,640,480,234,242,280,282,38
frame0011.jpg,640,480,339,234,356,252,38
frame0012.jpg,640,480,475,151,554,228,3
frame0012.jpg,640,480,481,227,507,267,115
frame0012.jpg,640,480,403,227,419,251,115
frame0012.jpg,640,480,234,242,280,282,38
frame0012.jpg,640,480,339,234,356,252,38
frame0013.jpg,640,480,475,151,554,228,3
frame0013.jpg,640,480,481,227,507,267,115
frame0013.jpg,640,480,403,227,419,251,115
frame0013.jpg,640,480,234,242,280,282,38
frame0013.jpg,640,480,339,234,356,252,38
frame0014.jpg,640,480,475,151,554,228,3
frame0014.jpg,640,480,481,227,507,267,115
frame0014.jpg,640,480,403,227,419,251,115
frame0014.jpg,640,480,234,242,280,282,38
frame0014.jpg,640,480,339,234,356,252,38
frame0015.jpg,640,480,475,151,554,228,3
frame0015.jpg,640,480,481,227,507,267,115
frame0015.jpg,640,480,403,227,419,251,115
frame0015.jpg,640,480,234,242,280,282,38
frame0015.jpg,640,480,339,234,356,252,38
frame0016.jpg,640,480,475,151,554,228,3
frame0016.jpg,640,480,481,227,507,267,115
frame0016.jpg,640,480,403,227,419,251,115
frame0016.jpg,640,480,234,242,280,282,38
frame0016.jpg,640,480,339,234,356,252,38
frame0017.jpg,640,480,475,151,554,228,3
frame0017.jpg,640,480,481,227,507,267,115
frame0017.jpg,640,480,403,227,419,251,115
frame0017.jpg,640,480,234,242,280,282,38
frame0017.jpg,640,480,339,234,356,252,38
frame0018.jpg,640,480,475,151,554,228,3
frame0018.jpg,640,480,481,227,507,267,115
frame0018.jpg,640,480,403,227,419,251,115
frame0018.jpg,640,480,234,242,280,282,38
frame0018.jpg,640,480,339,234,356,252,38
frame0019.jpg,640,480,475,151,554,228,3
frame0019.jpg,640,480,481,227,507,267,115
frame0019.jpg,640,480,403,227,419,251,115
frame0019.jpg,640,480,234,242,280,282,38
frame0019.jpg,640,480,339,234,356,252,38
frame0020.jpg,640,480,475,151,554,228,3
frame0020.jpg,640,480,481,227,507,267,115
frame0020.jpg,640,480,403,227,419,251,115
frame0020.jpg,640,480,234,242,280,282,38
frame0020.jpg,640,480,339,234,356,252,38
frame0021.jpg,640,480,475,151,554,228,3
frame0021.jpg,640,480,481,227,507,267,115
frame0021.jpg,640,480,403,227,419,251,115
frame0021.jpg,640,480,234,242,280,282,38
frame0021.jpg,640,480,339,234,356,252,38
frame0022.jpg,640,480,475,151,554,228,3
frame0022.jpg,640,480,481,227,507,267,115
frame0022.jpg,640,480,403,227,419,251,115
frame0022.jpg,640,480,234,242,280,282,38
frame0022.jpg,640,480,339,234,356,252,38
frame0023.jpg,640,480,475,151,554,228,3
frame0023.jpg,640,480,481,227,507,267,115
frame0023.jpg,640,480,403,227,419,251,115
frame0023.jpg,640,480,234,242,280,282,38
frame0023.jpg,640,480,339,234,356,252,38
frame0024.jpg,640,480,475,151,554,228,3
frame0024.jpg,640,480,481,227,507,267,115
frame0024.jpg,640,480,403,227,419,251,115
frame0024.jpg,640,480,234,242,280,282,38
frame0024.jpg,640,480,339,234,356,252,38
frame0025.jpg,640,480,475,151,554,228,3
frame0025.jpg,640,480,481,227,507,267,115
frame0025.jpg,640,480,403,227,419,251,115
frame0025.jpg,640,480,234,242,280,282,38
frame0025.jpg,640,480,339,234,356,252,38
frame0026.jpg,640,480,475,151,554,228,3
frame0026.jpg,640,480,481,227,507,267,115
frame0026.jpg,640,480,403,227,419,251,115
frame0026.jpg,640,480,234,242,280,282,38
frame0026.jpg,640,480,339,234,356,252,38
frame0027.jpg,640,480,475,151,554,228,3
frame0027.jpg,640,480,481,227,507,267,115
frame0027.jpg,640,480,403,227,419,251,115
frame0027.jpg,640,480,234,242,280,282,38
frame0027.jpg,640,480,339,234,356,252,38
frame0028.jpg,640,480,475,151,554,228,3
frame0028.jpg,640,480,481,227,507,267,115
frame0028.jpg,640,480,403,227,419,251,115
frame0028.jpg,640,480,234,242,280,282,38
frame0028.jpg,640,480,339,234,356,252,38
frame0029.jpg,640,480,475,151,554,228,3
frame0029.jpg,640,480,481,227,507,267,115
frame0029.jpg,640,480,403,227,419,251,115
frame0029.jpg,640,480,234,242,280,282,38
frame0029.jpg,640,480,339,234,356,252,38
frame0030.jpg,640,480,475,151,554,228,3
frame0030.jpg,640,480,481,227,507,267,115
frame0030.jpg,640,480,403,227,419,251,115
frame0030.jpg,640,480,234,242,280,282,38
frame0030.jpg,640,480,339,234,356,252,38
frame0031.jpg,640,480,475,151,554,228,3
frame0031.jpg,640,480,481,227,507,267,115
frame0031.jpg,640,480,403,227,419,251,115
frame0031.jpg,640,480,234,242,280,282,38
frame0031.jpg,640,480,339,234,356,252,38
frame0032.jpg,640,480,475,151,554,228,3
frame0032.jpg,640,480,481,227,507,267,115
frame0032.jpg,640,480,403,227,419,251,115
frame0032.jpg,640,480,234,242,280,282,38
frame0032.jpg,640,480,339,234,356,252,38
frame0033.jpg,640,480,475,151,554,228,3
frame0033.jpg,640,480,481,227,507,267,115
frame0033.jpg,640,480,403,227,419,251,115
frame0033.jpg,640,480,234,242,280,282,38
frame0033.jpg,640,480,339,234,356,252,38
frame0034.jpg,640,480,475,151,554,228,3
frame0034.jpg,640,480,481,227,507,267,115
frame0034.jpg,640,480,403,227,419,251,115
frame0034.jpg,640,480,234,242,280,282,38
frame0034.jpg,640,480,339,234,356,252,38
frame0035.jpg,640,480,475,151,554,228,3
frame0035.jpg,640,480,481,227,507,267,115
frame0035.jpg,640,480,403,227,419,251,115
frame0035.jpg,640,480,234,242,280,282,38
frame0035.jpg,640,480,339,234,356,252,38
frame0036.jpg,640,480,475,151,554,228,3
frame0036.jpg,640,480,481,227,507,267,115
frame0036.jpg,640,480,403,227,419,251,115
frame0036.jpg,640,480,234,242,280,282,38
frame0036.jpg,640,480,339,234,356,252,38
