Filename,Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId
00001.png,640,480,5,174,49,209,107
00001.png,640,480,364,167,412,212,109
00002.png,640,480,5,174,49,209,107
00002.png,640,480,364,167,412,212,109
00003.png,640,480,5,174,49,209,107
00003.png,640,480,364,167,412,212,109
00004.png,640,480,5,174,49,209,107
00004.png,640,480,364,167,412,212,109
00005.png,640,480,5,174,49,209,107
00005.png,640,480,364,167,412,212,109
00006.png,640,480,5,174,49,209,107
00006.png,640,480,364,167,412,212,109
00007.png,640,480,5,174,49,209,107
00007.png,640,480,364,167,412,212,109
00008.png,640,480,5,174,49,209,107
00008.png,640,480,364,167,412,212,109
00009.png,640,480,5,174,49,209,107
00009.png,640,480,364,167,412,212,109
00010.png,640,480,5,174,49,209,107
00010.png,640,480,364,167,412,212,109
00011.png,640,480,5,174,49,209,107
00011.png,640,480,364,167,412,212,109
00012.png,640,480,5,174,49,209,107
00012.png,640,480,364,167,412,212,109
00013.png,640,480,5,174,49,209,107
00013.png,640,480,364,167,412,212,109
00014.png,640,480,5,174,49,209,107
00014.png,640,480,364,167,412,212,109
00015.png,640,480,5,174,49,209,107
00015.png,640,480,364,167,412,212,109
00016.png,640,480,5,174,49,209,107
00016.png,640,480,364,167,412,212,109
00017.png,640,480,5,174,49,209,107
00017.png,640,480,364,167,412,212,109
00018.png,640,480,5,174,49,209,107
00018.png,640,480,364,167,412,212,109
00019.png,640,480,5,174,49,209,107
00019.png,640,480,364,167,412,212,109
00020.png,640,480,5,174,49,209,107
00020.png,640,480,364,167,412,212,109
00021.png,640,480,5,174,49,209,107
00021.png,640,480,364,167,412,212,109
00022.png,640,480,5,174,49,209,107
00022.png,640,480,364,167,412,212,109
00023.png,640,480,5,174,49,209,107
00023.png,640,480,364,167,412,212,109
00024.png,640,480,5,174,49,209,107
00024.png,640,480,364,167,412,212,109
00025.png,640,480,5,174,49,209,107
00025.png,640,480,364,167,412,212,109
00026.png,640,480,5,174,49,209,107
00026.png,640,480,364,167,412,212,109
00027.png,640,480,5,174,49,209,107
00027.png,640,480,364,167,412,212,109
00028.png,640,480,5,174,49,209,107
00028.png,640,480,364,167,412,212,109
00029.png,640,480,5,174,49,209,107
00029.png,640,480,364,167,412,212,109
00030.png,640,480,5,174,49,209,107
00030.png,640,480,364,167,412,212,109
00031.png,640,480,5,174,49,209,107
00031.png,640,480,364,167,412,212,109
00032.png,640,480,5,174,49,209,107
00032.png,640,480,364,167,412,212,109
00033.png,640,480,5,174,49,209,107
00033.png,640,480,364,167,412,212,109
00034.png,640,480,5,174,49,209,107
00034.png,640,480,364,167,412,212,109
00035.png,640,480,5,174,49,209,107
00035.png,640,480,364,167,412,212,109
