Filename,Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId
00001.png,640,480,562,103,640,190,102
00002.png,640,480,562,103,640,190,102
00003.png,640,480,562,103,640,190,102
00004.png,640,480,562,103,640,190,102
00005.png,640,480,562,103,640,190,102
00006.png,640,480,562,103,640,190,102
00007.png,640,480,562,103,640,190,102
00008.png,640,480,562,103,640,190,102
00009.png,640,480,562,103,640,190,102
00010.png,640,480,562,103,640,190,102
00011.png,640,480,562,103,640,190,102
00012.png,640,480,562,103,640,191,102
00013.png,640,480,562,103,640,191,102
00014.png,640,480,562,103,640,191,102
00015.png,640,480,562,103,640,191,102
00016.png,640,480,562,103,640,191,102
00017.png,640,480,562,103,640,191,102
00018.png,640,480,562,103,640,191,102
00019.png,640,480,562,103,640,191,102
00020.png,640,480,562,103,640,191,102
00021.png,640,480,562,103,640,191,102
00022.png,640,480,561,104,639,191,102
00023.png,640,480,561,104,639,191,102
00024.png,640,480,561,104,639,191,102
00025.png,640,480,561,104,639,191,102
00026.png,640,480,561,104,639,191,102
00027.png,640,480,561,104,639,191,102
00028.png,640,480,561,104,639,191,102
00029.png,640,480,561,104,639,191,102
00030.png,640,480,561,104,639,191,102
00031.png,640,480,561,104,639,191,102
00032.png,640,480,561,104,639,192,102
00033.png,640,480,561,104,639,192,102
00034.png,640,480,561,104,639,192,102
00035.png,640,480,561,104,639,192,102
00036.png,640,480,561,104,639,192,102
00037.png,640,480,561,104,639,192,102
00038.png,640,480,561,104,639,192,102
00039.png,640,480,561,104,639,192,102
00040.png,640,480,561,104,639,192,102
00041.png,640,480,561,104,639,192,102
00042.png,640,480,561,104,639,192,102
00043.png,640,480,562,103,640,192,102
00044.png,640,480,563,103,641,192,102
00045.png,640,480,564,102,643,191,102
00046.png,640,480,565,102,644,191,102
00047.png,640,480,566,101,645,191,102
00048.png,640,480,578,97,659,190,102
00049.png,640,480,590,93,673,189,102
00050.png,640,480,0,0,0,0,43
00051.png,640,480,0,0,0,0,43
00052.png,640,480,0,0,0,0,43
00053.png,640,480,0,0,0,0,43
00054.png,640,480,0,0,0,0,43
00055.png,640,480,0,0,0,0,43
00056.png,640,480,0,0,0,0,43
00057.png,640,480,0,0,0,0,43
00058.png,640,480,0,0,0,0,43
00059.png,640,480,0,0,0,0,43
00060.png,640,480,0,0,0,0,43
00061.png,640,480,0,0,0,0,43
00062.png,640,480,0,0,0,0,43
00063.png,640,480,0,0,0,0,43
00064.png,640,480,0,0,0,0,43
00065.png,640,480,0,0,0,0,43
00066.png,640,480,0,0,0,0,43
00067.png,640,480,0,0,0,0,43
00068.png,640,480,0,0,0,0,43
00069.png,640,480,0,0,0,0,43
00070.png,640,480,0,0,0,0,43
00071.png,640,480,0,0,0,0,43
00072.png,640,480,0,0,0,0,43
00073.png,640,480,0,0,0,0,43
00074.png,640,480,0,0,0,0,43
00075.png,640,480,0,0,0,0,43
00076.png,640,480,0,0,0,0,43
00077.png,640,480,0,0,0,0,43
00078.png,640,480,0,0,0,0,43
00079.png,640,480,0,0,0,0,43
00080.png,640,480,0,0,0,0,43
00081.png,640,480,0,0,0,0,43
00082.png,640,480,0,0,0,0,43
00083.png,640,480,0,0,0,0,43
00084.png,640,480,0,0,0,0,43
00085.png,640,480,0,0,0,0,43
00086.png,640,480,0,0,0,0,43
00087.png,640,480,0,0,0,0,43
00088.png,640,480,0,0,0,0,43
00089.png,640,480,0,0,0,0,43
00090.png,640,480,0,0,0,0,43
00091.png,640,480,0,0,0,0,43
00092.png,640,480,0,0,0,0,43
00093.png,640,480,0,0,0,0,43
00094.png,640,480,0,0,0,0,43
00095.png,640,480,0,0,0,0,43
00096.png,640,480,0,0,0,0,43
00097.png,640,480,0,0,0,0,43
00098.png,640,480,0,0,0,0,43
00099.png,640,480,0,0,0,0,43
00100.png,640,480,0,0,0,0,43
00101.png,640,480,0,0,0,0,43
00102.png,640,480,0,0,0,0,43
00103.png,640,480,0,0,0,0,43
00104.png,640,480,0,0,0,0,43
00105.png,640,480,0,0,0,0,43
00106.png,640,480,0,0,0,0,43
00107.png,640,480,0,0,0,0,43
00108.png,640,480,0,0,0,0,43
00109.png,640,480,0,0,0,0,43
00110.png,640,480,0,0,0,0,43
00111.png,640,480,0,0,0,0,43
00112.png,640,480,0,0,0,0,43
00113.png,640,480,0,0,0,0,43
00114.png,640,480,0,0,0,0,43
00115.png,640,480,0,0,0,0,43
00116.png,640,480,0,0,0,0,43
00117.png,640,480,528,162,561,199,2
00118.png,640,480,523,161,558,199,2
00119.png,640,480,518,159,554,198,2
00120.png,640,480,513,158,551,198,2
00121.png,640,480,508,156,548,197,2
00122.png,640,480,503,155,544,197,2
00123.png,640,480,498,153,541,196,2
00124.png,640,480,503,152,546,196,2
00125.png,640,480,507,151,550,196,2
00126.png,640,480,512,150,555,195,2
00127.png,640,480,516,149,559,195,2
00128.png,640,480,524,147,569,194,2
00129.png,640,480,533,145,579,194,2
00130.png,640,480,541,142,590,193,2
00131.png,640,480,550,140,600,193,2
00132.png,640,480,558,138,610,192,2
00133.png,640,480,563,135,620,192,2
00134.png,640,480,568,133,629,192,2
00135.png,640,480,573,130,639,192,2
00136.png,640,480,578,126,646,192,2
00137.png,640,480,583,123,653,192,2
00138.png,640,480,587,119,659,191,2
00139.png,640,480,592,116,666,191,2
00140.png,640,480,597,112,673,191,2
00141.png,640,480,594,107,673,190,2
00142.png,640,480,592,102,673,190,2
00143.png,640,480,589,98,673,189,2
00144.png,640,480,586,93,673,188,2
00145.png,640,480,584,88,673,188,2
00146.png,640,480,581,83,673,187,2
00147.png,640,480,578,75,673,185,2
00148.png,640,480,575,67,673,184,2
00149.png,640,480,572,59,673,182,2
00150.png,640,480,0,0,0,0,43
00151.png,640,480,0,0,0,0,43
00152.png,640,480,0,0,0,0,43
00153.png,640,480,0,0,0,0,43
00154.png,640,480,0,0,0,0,43
00155.png,640,480,0,0,0,0,43
00156.png,640,480,0,0,0,0,43
00157.png,640,480,0,0,0,0,43
00158.png,640,480,0,0,0,0,43
00159.png,640,480,0,0,0,0,43
00160.png,640,480,0,0,0,0,43
00161.png,640,480,0,0,0,0,43
00162.png,640,480,0,0,0,0,43
00163.png,640,480,0,0,0,0,43
00164.png,640,480,0,0,0,0,43
00165.png,640,480,0,0,0,0,43
00166.png,640,480,0,0,0,0,43
00167.png,640,480,0,0,0,0,43
00168.png,640,480,0,0,0,0,43
00169.png,640,480,0,0,0,0,43
00170.png,640,480,0,0,0,0,43
00171.png,640,480,0,0,0,0,43
00172.png,640,480,0,0,0,0,43
00173.png,640,480,0,0,0,0,43
00174.png,640,480,0,0,0,0,43
00175.png,640,480,0,0,0,0,43
00176.png,640,480,0,0,0,0,43
00177.png,640,480,0,0,0,0,43
00178.png,640,480,0,0,0,0,43
00179.png,640,480,0,0,0,0,43
00180.png,640,480,0,0,0,0,43
00181.png,640,480,0,0,0,0,43
00182.png,640,480,0,0,0,0,43
00183.png,640,480,0,0,0,0,43
00184.png,640,480,289,210,312,233,38
00185.png,640,480,286,210,309,233,38
00186.png,640,480,283,209,306,234,38
00187.png,640,480,280,209,303,234,38
00188.png,640,480,267,209,292,235,38
00189.png,640,480,255,209,282,237,38
00190.png,640,480,242,209,271,238,38
00191.png,640,480,228,211,257,241,38
00192.png,640,480,211,211,242,244,38
00193.png,640,480,193,211,228,247,38
00194.png,640,480,176,211,213,250,38
00195.png,640,480,158,212,198,254,38
00196.png,640,480,141,212,184,257,38
00197.png,640,480,123,212,169,260,38
00198.png,640,480,101,213,153,264,38
00199.png,640,480,80,214,136,269,38
00200.png,640,480,58,215,120,273,38
00201.png,640,480,30,215,94,280,38
00202.png,640,480,2,215,68,286,38
00203.png,640,480,0,0,0,0,43
00204.png,640,480,0,0,0,0,43
00205.png,640,480,0,0,0,0,43
00206.png,640,480,0,0,0,0,43
00207.png,640,480,0,0,0,0,43
00208.png,640,480,0,0,0,0,43
00209.png,640,480,0,0,0,0,43
00210.png,640,480,0,0,0,0,43
00211.png,640,480,0,0,0,0,43
00212.png,640,480,0,0,0,0,43
00213.png,640,480,0,0,0,0,43
00214.png,640,480,0,0,0,0,43
00215.png,640,480,0,0,0,0,43
00216.png,640,480,268,181,286,199,12
00217.png,640,480,273,180,292,199,12
00218.png,640,480,278,179,299,198,12
00219.png,640,480,283,178,305,198,12
00220.png,640,480,289,178,311,197,12
00221.png,640,480,294,177,317,197,12
00222.png,640,480,299,176,324,196,12
00223.png,640,480,304,175,330,196,12
00224.png,640,480,313,173,341,198,12
00225.png,640,480,326,173,354,196,12
00226.png,640,480,339,172,366,194,12
00227.png,640,480,344,170,372,194,12
00228.png,640,480,349,169,378,194,12
00229.png,640,480,354,167,384,194,12
00230.png,640,480,359,165,390,194,12
00231.png,640,480,364,163,396,192,12
00232.png,640,480,381,161,417,192,12
00233.png,640,480,398,158,438,191,12
00234.png,640,480,414,156,458,191,12
00235.png,640,480,431,154,479,191,12
00236.png,640,480,448,151,500,190,12
00237.png,640,480,465,149,521,190,12
00238.png,640,480,480,143,537,188,12
00239.png,640,480,496,137,553,185,12
00240.png,640,480,511,130,568,183,12
00241.png,640,480,526,124,584,180,12
00242.png,640,480,536,116,599,177,12
00243.png,640,480,547,109,615,174,12
00244.png,640,480,557,101,630,171,12
00245.png,640,480,567,93,645,168,12
00246.png,640,480,0,0,0,0,43
00247.png,640,480,0,0,0,0,43
00248.png,640,480,0,0,0,0,43
00249.png,640,480,0,0,0,0,43
00250.png,640,480,229,176,241,196,12
00251.png,640,480,227,175,241,196,12
00252.png,640,480,226,174,242,195,12
00253.png,640,480,224,173,242,195,12
00254.png,640,480,0,0,0,0,43
00255.png,640,480,0,0,0,0,43
00256.png,640,480,0,0,0,0,43
00257.png,640,480,0,0,0,0,43
00258.png,640,480,0,0,0,0,43
00259.png,640,480,0,0,0,0,43
00260.png,640,480,0,0,0,0,43
00261.png,640,480,0,0,0,0,43
00262.png,640,480,0,0,0,0,43
00263.png,640,480,0,0,0,0,43
00264.png,640,480,0,0,0,0,43
00265.png,640,480,0,0,0,0,43
00266.png,640,480,0,0,0,0,43
00267.png,640,480,0,0,0,0,43
00268.png,640,480,0,0,0,0,43
00269.png,640,480,0,0,0,0,43
00270.png,640,480,0,0,0,0,43
00271.png,640,480,0,0,0,0,43
00272.png,640,480,0,0,0,0,43
00273.png,640,480,0,0,0,0,43
00274.png,640,480,0,0,0,0,43
00275.png,640,480,0,0,0,0,43
00276.png,640,480,0,0,0,0,43
00277.png,640,480,0,0,0,0,43
00278.png,640,480,0,0,0,0,43
00279.png,640,480,0,0,0,0,43
00280.png,640,480,0,0,0,0,43
00281.png,640,480,0,0,0,0,43
00282.png,640,480,0,0,0,0,43
00283.png,640,480,0,0,0,0,43
00284.png,640,480,0,0,0,0,43
00285.png,640,480,0,0,0,0,43
00286.png,640,480,0,0,0,0,43
00287.png,640,480,0,0,0,0,43
00288.png,640,480,0,0,0,0,43
00289.png,640,480,0,0,0,0,43
00290.png,640,480,0,0,0,0,43
00291.png,640,480,0,0,0,0,43
00292.png,640,480,0,0,0,0,43
00293.png,640,480,0,0,0,0,43
00294.png,640,480,0,0,0,0,43
00295.png,640,480,0,0,0,0,43
00296.png,640,480,0,0,0,0,43
00297.png,640,480,0,0,0,0,43
00298.png,640,480,0,0,0,0,43
00299.png,640,480,0,0,0,0,43
00300.png,640,480,0,0,0,0,43
00301.png,640,480,0,0,0,0,43
00302.png,640,480,0,0,0,0,43
00303.png,640,480,0,0,0,0,43
00304.png,640,480,0,0,0,0,43
00305.png,640,480,0,0,0,0,43
00306.png,640,480,0,0,0,0,43
00307.png,640,480,0,0,0,0,43
00308.png,640,480,0,0,0,0,43
00309.png,640,480,0,0,0,0,43
00310.png,640,480,0,0,0,0,43
00311.png,640,480,0,0,0,0,43
00312.png,640,480,0,0,0,0,43
00313.png,640,480,0,0,0,0,43
00314.png,640,480,0,0,0,0,43
00315.png,640,480,0,0,0,0,43
00316.png,640,480,0,0,0,0,43
00317.png,640,480,0,0,0,0,43
00318.png,640,480,0,0,0,0,43
00319.png,640,480,0,0,0,0,43
00320.png,640,480,0,0,0,0,43
00321.png,640,480,0,0,0,0,43
00322.png,640,480,0,0,0,0,43
00323.png,640,480,0,0,0,0,43
00324.png,640,480,0,0,0,0,43
00325.png,640,480,0,0,0,0,43
00326.png,640,480,0,0,0,0,43
00327.png,640,480,0,0,0,0,43
00328.png,640,480,0,0,0,0,43
00329.png,640,480,0,0,0,0,43
00330.png,640,480,0,0,0,0,43
00331.png,640,480,0,0,0,0,43
00332.png,640,480,0,0,0,0,43
00333.png,640,480,0,0,0,0,43
00334.png,640,480,0,0,0,0,43
00335.png,640,480,0,0,0,0,43
00336.png,640,480,0,0,0,0,43
00337.png,640,480,0,0,0,0,43
00338.png,640,480,0,0,0,0,43
00339.png,640,480,0,0,0,0,43
00340.png,640,480,0,0,0,0,43
00341.png,640,480,0,0,0,0,43
00342.png,640,480,0,0,0,0,43
00343.png,640,480,0,0,0,0,43
00344.png,640,480,0,0,0,0,43
00345.png,640,480,0,0,0,0,43
00346.png,640,480,0,0,0,0,43
00347.png,640,480,0,0,0,0,43
00348.png,640,480,0,0,0,0,43
00349.png,640,480,0,0,0,0,43
00350.png,640,480,0,0,0,0,43
00351.png,640,480,0,0,0,0,43
00352.png,640,480,0,0,0,0,43
00353.png,640,480,0,0,0,0,43
00354.png,640,480,0,0,0,0,43
00355.png,640,480,0,0,0,0,43
00356.png,640,480,0,0,0,0,43
00357.png,640,480,0,0,0,0,43
00358.png,640,480,0,0,0,0,43
00359.png,640,480,0,0,0,0,43
00360.png,640,480,0,0,0,0,43
00361.png,640,480,0,0,0,0,43
00362.png,640,480,0,0,0,0,43
00363.png,640,480,0,0,0,0,43
00364.png,640,480,0,0,0,0,43
00365.png,640,480,0,0,0,0,43
00366.png,640,480,0,0,0,0,43
00367.png,640,480,0,0,0,0,43
00368.png,640,480,0,0,0,0,43
00369.png,640,480,0,0,0,0,43
00370.png,640,480,0,0,0,0,43
00371.png,640,480,0,0,0,0,43
00372.png,640,480,0,0,0,0,43
00373.png,640,480,0,0,0,0,43
00374.png,640,480,0,0,0,0,43
00375.png,640,480,0,0,0,0,43
00376.png,640,480,0,0,0,0,43
00377.png,640,480,0,0,0,0,43
00378.png,640,480,0,0,0,0,43
00379.png,640,480,0,0,0,0,43
00380.png,640,480,0,0,0,0,43
00381.png,640,480,0,0,0,0,43
00382.png,640,480,0,0,0,0,43
00383.png,640,480,0,0,0,0,43
00384.png,640,480,0,0,0,0,43
00385.png,640,480,0,0,0,0,43
00386.png,640,480,0,0,0,0,43
00387.png,640,480,0,0,0,0,43
00388.png,640,480,0,0,0,0,43
00389.png,640,480,0,0,0,0,43
00390.png,640,480,0,0,0,0,43
00391.png,640,480,0,0,0,0,43
00392.png,640,480,0,0,0,0,43
00393.png,640,480,0,0,0,0,43
00394.png,640,480,0,0,0,0,43
00395.png,640,480,0,0,0,0,43
00396.png,640,480,0,0,0,0,43
00397.png,640,480,0,0,0,0,43
00398.png,640,480,0,0,0,0,43
00399.png,640,480,0,0,0,0,43
00400.png,640,480,0,0,0,0,43
00401.png,640,480,0,0,0,0,43
00402.png,640,480,0,0,0,0,43
00403.png,640,480,0,0,0,0,43
00404.png,640,480,0,0,0,0,43
00405.png,640,480,0,0,0,0,43
00406.png,640,480,0,0,0,0,43
00407.png,640,480,0,0,0,0,43
00408.png,640,480,0,0,0,0,43
00409.png,640,480,0,0,0,0,43
00410.png,640,480,0,0,0,0,43
00411.png,640,480,0,0,0,0,43
00412.png,640,480,0,0,0,0,43
00413.png,640,480,0,0,0,0,43
00414.png,640,480,0,0,0,0,43
00415.png,640,480,0,0,0,0,43
00416.png,640,480,0,0,0,0,43
00417.png,640,480,0,0,0,0,43
00418.png,640,480,0,0,0,0,43
00419.png,640,480,0,0,0,0,43
00420.png,640,480,0,0,0,0,43
00421.png,640,480,0,0,0,0,43
00422.png,640,480,0,0,0,0,43
00423.png,640,480,0,0,0,0,43
00424.png,640,480,0,0,0,0,43
00425.png,640,480,0,0,0,0,43
00426.png,640,480,0,0,0,0,43
00427.png,640,480,0,0,0,0,43
00428.png,640,480,0,0,0,0,43
00429.png,640,480,0,0,0,0,43
00430.png,640,480,0,0,0,0,43
00431.png,640,480,0,0,0,0,43
00432.png,640,480,0,0,0,0,43
00433.png,640,480,0,0,0,0,43
00434.png,640,480,0,0,0,0,43
00435.png,640,480,0,0,0,0,43
00436.png,640,480,0,0,0,0,43
00437.png,640,480,0,0,0,0,43
00438.png,640,480,0,0,0,0,43
00439.png,640,480,0,0,0,0,43
00440.png,640,480,0,0,0,0,43
00441.png,640,480,0,0,0,0,43
00442.png,640,480,0,0,0,0,43
00443.png,640,480,0,0,0,0,43
00444.png,640,480,0,0,0,0,43
00445.png,640,480,0,0,0,0,43
00446.png,640,480,0,0,0,0,43
00447.png,640,480,0,0,0,0,43
00448.png,640,480,0,0,0,0,43
00449.png,640,480,0,0,0,0,43
00450.png,640,480,0,0,0,0,43
00451.png,640,480,0,0,0,0,43
00452.png,640,480,0,0,0,0,43
00453.png,640,480,0,0,0,0,43
