Filename,Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId
00001.png,640,480,375,232,428,294,41
00002.png,640,480,375,232,428,294,41
00003.png,640,480,375,232,428,294,41
00004.png,640,480,375,232,428,294,41
00005.png,640,480,375,232,428,294,41
00006.png,640,480,375,232,428,294,41
00007.png,640,480,375,232,429,294,41
00008.png,640,480,375,232,429,294,41
00009.png,640,480,375,232,429,294,41
00010.png,640,480,375,232,429,293,41
00011.png,640,480,375,232,429,293,41
00012.png,640,480,375,232,429,293,41
00013.png,640,480,376,232,429,293,41
00014.png,640,480,376,232,429,293,41
00015.png,640,480,376,232,429,293,41
00016.png,640,480,376,232,429,293,41
00017.png,640,480,376,232,429,293,41
00018.png,640,480,376,232,429,293,41
00019.png,640,480,376,232,430,293,41
00020.png,640,480,376,232,430,293,41
00021.png,640,480,376,232,430,293,41
00022.png,640,480,376,232,430,293,41
00023.png,640,480,376,232,430,293,41
00024.png,640,480,376,232,430,293,41
00025.png,640,480,376,232,430,293,41
00026.png,640,480,376,232,430,292,41
00027.png,640,480,376,232,430,292,41
00028.png,640,480,376,232,430,292,41
00029.png,640,480,376,232,430,292,41
00030.png,640,480,376,232,430,292,41
00031.png,640,480,376,232,431,292,41
00032.png,640,480,376,232,431,292,41
00033.png,640,480,376,232,431,292,41
00034.png,640,480,376,232,431,292,41
00035.png,640,480,376,232,431,292,41
00036.png,640,480,376,232,431,292,41
00037.png,640,480,377,232,431,292,41
00038.png,640,480,377,232,431,292,41
00039.png,640,480,377,232,431,292,41
00040.png,640,480,377,232,431,292,41
00041.png,640,480,377,232,431,292,41
00042.png,640,480,377,232,431,291,41
00043.png,640,480,377,232,432,291,41
00044.png,640,480,377,232,432,291,41
00045.png,640,480,377,232,432,291,41
00046.png,640,480,377,232,432,291,41
00047.png,640,480,377,232,432,291,41
00048.png,640,480,377,232,432,291,41
00049.png,640,480,377,232,432,291,41
00050.png,640,480,378,232,434,291,41
00051.png,640,480,380,231,435,291,41
00052.png,640,480,381,231,437,291,41
00053.png,640,480,382,230,438,291,41
00054.png,640,480,384,230,440,291,41
00055.png,640,480,385,229,441,291,41
00056.png,640,480,386,229,443,291,41
00057.png,640,480,388,229,445,291,41
00058.png,640,480,389,228,446,291,41
00059.png,640,480,390,228,448,291,41
00060.png,640,480,391,227,449,291,41
00061.png,640,480,393,227,451,291,41
00062.png,640,480,394,226,452,291,41
00063.png,640,480,395,226,454,291,41
00064.png,640,480,397,225,455,291,41
00065.png,640,480,398,225,457,291,41
00066.png,640,480,400,225,459,291,41
00067.png,640,480,401,225,461,291,41
00068.png,640,480,403,224,462,291,41
00069.png,640,480,404,224,464,291,41
00070.png,640,480,406,224,466,291,41
00071.png,640,480,407,224,468,291,41
00072.png,640,480,409,224,470,291,41
00073.png,640,480,410,223,471,291,41
00074.png,640,480,412,223,473,291,41
00075.png,640,480,413,223,475,291,41
00076.png,640,480,415,223,477,292,41
00077.png,640,480,416,223,479,292,41
00078.png,640,480,418,223,481,292,41
00079.png,640,480,419,222,482,292,41
00080.png,640,480,421,222,484,292,41
00081.png,640,480,422,222,486,292,41
00082.png,640,480,424,222,488,292,41
00083.png,640,480,425,222,490,292,41
00084.png,640,480,427,221,491,292,41
00085.png,640,480,428,221,493,292,41
00086.png,640,480,430,221,495,292,41
00087.png,640,480,432,221,497,292,41
00088.png,640,480,434,220,500,292,41
00089.png,640,480,436,220,502,292,41
00090.png,640,480,439,220,504,293,41
00091.png,640,480,441,219,506,293,41
00092.png,640,480,443,219,509,293,41
00093.png,640,480,445,218,511,293,41
00094.png,640,480,447,218,513,293,41
00095.png,640,480,450,218,517,293,41
00096.png,640,480,453,218,521,294,41
00097.png,640,480,455,217,524,294,41
00098.png,640,480,458,217,528,294,41
00099.png,640,480,461,217,532,294,41
00100.png,640,480,464,216,535,294,41
00101.png,640,480,467,216,539,295,41
00102.png,640,480,470,215,542,295,41
00103.png,640,480,473,215,546,295,41
00104.png,640,480,476,214,549,295,41
00105.png,640,480,478,214,553,295,41
00106.png,640,480,481,213,556,295,41
00107.png,640,480,484,213,560,296,41
00108.png,640,480,487,212,563,296,41
00109.png,640,480,490,212,567,296,41
00110.png,640,480,493,211,570,296,41
00111.png,640,480,497,211,575,296,41
00112.png,640,480,502,210,580,296,41
00113.png,640,480,506,210,585,295,41
00114.png,640,480,510,209,591,295,41
00115.png,640,480,514,209,596,295,41
00116.png,640,480,519,208,601,295,41
00117.png,640,480,523,208,606,294,41
00118.png,640,480,527,207,611,294,41
00119.png,640,480,533,206,618,295,41
00120.png,640,480,538,206,625,296,41
00121.png,640,480,544,205,632,296,41
00122.png,640,480,549,204,639,297,41
00123.png,640,480,0,0,0,0,43
00124.png,640,480,0,0,0,0,43
00125.png,640,480,0,0,0,0,43
00126.png,640,480,0,0,0,0,43
00127.png,640,480,0,0,0,0,43
00128.png,640,480,0,0,0,0,43
00129.png,640,480,0,0,0,0,43
00130.png,640,480,0,0,0,0,43
00131.png,640,480,0,0,0,0,43
00132.png,640,480,0,0,0,0,43
00133.png,640,480,0,0,0,0,43
00134.png,640,480,0,0,0,0,43
00135.png,640,480,0,0,0,0,43
00136.png,640,480,0,0,0,0,43
00137.png,640,480,0,0,0,0,43
00138.png,640,480,0,0,0,0,43
00139.png,640,480,0,0,0,0,43
00140.png,640,480,0,0,0,0,43
00141.png,640,480,0,0,0,0,43
00142.png,640,480,0,0,0,0,43
00143.png,640,480,0,0,0,0,43
00144.png,640,480,0,0,0,0,43
00145.png,640,480,0,0,0,0,43
00146.png,640,480,0,0,0,0,43
00147.png,640,480,0,0,0,0,43
00148.png,640,480,0,0,0,0,43
00149.png,640,480,0,0,0,0,43
00150.png,640,480,0,0,0,0,43
00151.png,640,480,0,0,0,0,43
00152.png,640,480,0,0,0,0,43
00153.png,640,480,0,0,0,0,43
00154.png,640,480,0,0,0,0,43
00155.png,640,480,0,0,0,0,43
00156.png,640,480,0,0,0,0,43
00157.png,640,480,0,0,0,0,43
00158.png,640,480,0,0,0,0,43
00159.png,640,480,0,0,0,0,43
00160.png,640,480,0,0,0,0,43
00161.png,640,480,0,0,0,0,43
00162.png,640,480,0,0,0,0,43
00163.png,640,480,0,0,0,0,43
00164.png,640,480,0,0,0,0,43
00165.png,640,480,0,0,0,0,43
00166.png,640,480,0,0,0,0,43
00167.png,640,480,0,0,0,0,43
00168.png,640,480,0,0,0,0,43
00169.png,640,480,0,0,0,0,43
00170.png,640,480,0,0,0,0,43
00171.png,640,480,0,0,0,0,43
00172.png,640,480,0,0,0,0,43
00173.png,640,480,0,0,0,0,43
00174.png,640,480,0,0,0,0,43
00175.png,640,480,0,0,0,0,43
00176.png,640,480,0,0,0,0,43
00177.png,640,480,0,0,0,0,43
00178.png,640,480,0,0,0,0,43
00179.png,640,480,0,0,0,0,43
00180.png,640,480,0,0,0,0,43
00181.png,640,480,0,0,0,0,43
00182.png,640,480,0,0,0,0,43
00183.png,640,480,0,0,0,0,43
00184.png,640,480,0,0,0,0,43
00185.png,640,480,0,0,0,0,43
00186.png,640,480,0,0,0,0,43
00187.png,640,480,0,0,0,0,43
00188.png,640,480,0,0,0,0,43
00189.png,640,480,0,0,0,0,43
00190.png,640,480,0,0,0,0,43
00191.png,640,480,0,0,0,0,43
00192.png,640,480,0,0,0,0,43
00193.png,640,480,0,0,0,0,43
00194.png,640,480,0,0,0,0,43
00195.png,640,480,0,0,0,0,43
00196.png,640,480,0,0,0,0,43
00197.png,640,480,0,0,0,0,43
00198.png,640,480,0,0,0,0,43
00199.png,640,480,0,0,0,0,43
00200.png,640,480,0,0,0,0,43
00201.png,640,480,0,0,0,0,43
00202.png,640,480,0,0,0,0,43
00203.png,640,480,0,0,0,0,43
00204.png,640,480,0,0,0,0,43
00205.png,640,480,0,0,0,0,43
00206.png,640,480,0,0,0,0,43
00207.png,640,480,0,0,0,0,43
00208.png,640,480,0,0,0,0,43
00209.png,640,480,0,0,0,0,43
00210.png,640,480,0,0,0,0,43
00211.png,640,480,0,0,0,0,43
00212.png,640,480,0,0,0,0,43
00213.png,640,480,0,0,0,0,43
00214.png,640,480,0,0,0,0,43
00215.png,640,480,0,0,0,0,43
00216.png,640,480,155,261,177,287,14
00217.png,640,480,157,261,179,287,14
