Filename,Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId
00001.png,640,480,488,487,745,746,13
00002.png,640,480,487,259,536,304,13
00003.png,640,480,487,259,536,304,13
00004.png,640,480,487,259,536,304,13
00005.png,640,480,487,259,536,304,13
00006.png,640,480,487,259,536,304,13
00007.png,640,480,487,259,536,304,13
00008.png,640,480,487,259,536,304,13
00009.png,640,480,487,259,536,304,13
00010.png,640,480,487,259,536,304,13
00011.png,640,480,487,259,536,304,13
00012.png,640,480,487,259,536,304,13
00013.png,640,480,487,259,536,304,13
00014.png,640,480,487,259,536,304,13
00015.png,640,480,487,259,536,304,13
00016.png,640,480,487,259,536,304,13
00017.png,640,480,487,259,536,304,13
00018.png,640,480,487,259,536,304,13
00019.png,640,480,487,259,536,304,13
00020.png,640,480,487,259,536,304,13
00021.png,640,480,487,259,536,304,13
00022.png,640,480,487,259,536,304,13
00023.png,640,480,487,259,536,304,13
00024.png,640,480,487,259,536,304,13
00025.png,640,480,487,259,536,304,13
00026.png,640,480,487,259,536,304,13
00027.png,640,480,487,258,536,304,13
00028.png,640,480,487,258,536,304,13
00029.png,640,480,487,258,536,304,13
00030.png,640,480,487,258,536,304,13
00031.png,640,480,487,258,536,304,13
00032.png,640,480,487,258,536,304,13
00033.png,640,480,487,258,536,304,13
00034.png,640,480,487,258,536,304,13
00035.png,640,480,487,258,536,304,13
00036.png,640,480,487,258,536,304,13
00037.png,640,480,487,258,536,304,13
00038.png,640,480,487,258,536,304,13
00039.png,640,480,487,258,536,304,13
00040.png,640,480,487,258,536,304,13
00041.png,640,480,487,258,536,304,13
00042.png,640,480,487,258,536,304,13
00043.png,640,480,487,258,536,304,13
00044.png,640,480,487,258,536,304,13
00045.png,640,480,487,258,536,304,13
00046.png,640,480,487,258,536,304,13
00047.png,640,480,487,258,536,304,13
00048.png,640,480,487,258,536,304,13
00049.png,640,480,487,258,536,304,13
00050.png,640,480,487,258,536,304,13
00051.png,640,480,487,258,536,304,13
00052.png,640,480,487,258,536,304,13
00053.png,640,480,487,258,537,304,13
00054.png,640,480,488,258,537,304,13
00055.png,640,480,488,258,538,304,13
00056.png,640,480,489,258,539,304,13
00057.png,640,480,489,258,539,304,13
00058.png,640,480,490,258,540,304,13
00059.png,640,480,490,258,541,304,13
00060.png,640,480,491,258,541,304,13
00061.png,640,480,491,258,542,304,13
00062.png,640,480,492,258,543,304,13
00063.png,640,480,492,258,544,304,13
00064.png,640,480,493,258,544,304,13
00065.png,640,480,493,258,545,305,13
00066.png,640,480,494,257,546,305,13
00067.png,640,480,494,257,547,305,13
00068.png,640,480,495,257,547,305,13
00069.png,640,480,495,257,548,305,13
00070.png,640,480,496,257,549,305,13
00071.png,640,480,496,257,550,305,13
00072.png,640,480,497,257,550,305,13
00073.png,640,480,497,257,551,306,13
00074.png,640,480,498,256,552,306,13
00075.png,640,480,498,256,553,306,13
00076.png,640,480,499,256,553,306,13
00077.png,640,480,500,256,554,306,13
00078.png,640,480,500,256,555,306,13
00079.png,640,480,501,256,556,306,13
00080.png,640,480,501,256,556,306,13
00081.png,640,480,502,256,557,307,13
00082.png,640,480,502,255,558,307,13
00083.png,640,480,503,255,559,307,13
00084.png,640,480,503,255,559,307,13
00085.png,640,480,504,255,560,307,13
00086.png,640,480,504,255,561,307,13
00087.png,640,480,505,255,562,307,13
00088.png,640,480,505,255,562,307,13
00089.png,640,480,506,255,563,308,13
00090.png,640,480,506,254,564,308,13
00091.png,640,480,507,254,565,308,13
00092.png,640,480,507,254,565,308,13
00093.png,640,480,508,254,566,308,13
00094.png,640,480,509,254,568,308,13
00095.png,640,480,510,253,569,308,13
00096.png,640,480,512,253,571,308,13
00097.png,640,480,513,253,572,308,13
00098.png,640,480,514,253,574,308,13
00099.png,640,480,515,252,575,309,13
00100.png,640,480,517,252,577,309,13
00101.png,640,480,518,252,579,309,13
00102.png,640,480,519,251,580,309,13
00103.png,640,480,520,251,582,309,13
00104.png,640,480,521,251,583,309,13
00105.png,640,480,523,251,585,309,13
00106.png,640,480,524,250,586,309,13
00107.png,640,480,525,250,588,309,13
00108.png,640,480,526,250,589,309,13
00109.png,640,480,528,250,591,310,13
00110.png,640,480,529,249,593,310,13
00111.png,640,480,530,249,594,310,13
00112.png,640,480,531,249,596,310,13
00113.png,640,480,532,248,597,310,13
00114.png,640,480,534,248,599,310,13
00115.png,640,480,535,248,600,310,13
00116.png,640,480,536,248,602,310,13
00117.png,640,480,537,247,604,310,13
00118.png,640,480,538,247,605,310,13
00119.png,640,480,540,247,607,310,13
00120.png,640,480,541,246,608,311,13
00121.png,640,480,542,246,610,311,13
00122.png,640,480,543,246,611,311,13
00123.png,640,480,545,246,613,311,13
00124.png,640,480,546,245,614,311,13
00125.png,640,480,547,245,616,311,13
00126.png,640,480,548,245,618,311,13
00127.png,640,480,550,245,620,312,13
00128.png,640,480,551,245,622,312,13
00129.png,640,480,552,244,624,313,13
00130.png,640,480,549,248,626,313,13
00131.png,640,480,555,244,628,314,13
00132.png,640,480,556,244,629,314,13
00133.png,640,480,556,246,631,314,13
00134.png,640,480,559,244,633,315,13
00135.png,640,480,560,243,635,315,13
00136.png,640,480,562,243,637,316,13
00137.png,640,480,563,563,806,806,13
00528.png,640,480,1,306,18,322,105
00529.png,640,480,4,306,21,322,105
00530.png,640,480,6,306,23,323,105
00531.png,640,480,9,306,26,323,105
00532.png,640,480,12,307,28,323,105
00533.png,640,480,15,307,31,323,105
00534.png,640,480,17,307,33,324,105
00535.png,640,480,20,307,36,324,105
00536.png,640,480,20,308,36,324,105
00537.png,640,480,23,308,39,324,105
00538.png,640,480,27,308,43,324,105
00539.png,640,480,30,309,46,324,105
00540.png,640,480,33,309,49,324,105
00541.png,640,480,37,309,53,324,105
00542.png,640,480,40,309,56,324,105
00543.png,640,480,42,309,59,324,105
00544.png,640,480,45,308,61,324,105
00545.png,640,480,47,308,64,324,105
00546.png,640,480,49,308,66,324,105
00547.png,640,480,51,308,68,323,105
00548.png,640,480,54,307,71,323,105
00549.png,640,480,56,307,73,323,105
00550.png,640,480,58,307,75,322,105
00551.png,640,480,60,307,77,322,105
00552.png,640,480,63,306,80,322,105
00553.png,640,480,65,306,82,321,105
00554.png,640,480,67,306,84,321,105
00555.png,640,480,69,306,86,321,105
00556.png,640,480,71,306,87,322,105
00557.png,640,480,73,306,89,322,105
00558.png,640,480,74,307,91,322,105
00559.png,640,480,76,307,93,322,105
00560.png,640,480,78,307,94,323,105
00561.png,640,480,80,307,96,323,105
00562.png,640,480,81,307,97,322,105
00563.png,640,480,82,306,98,322,105
00564.png,640,480,83,306,99,321,105
00565.png,640,480,83,306,100,321,105
00566.png,640,480,84,305,100,321,105
00567.png,640,480,84,305,101,321,105
00568.png,640,480,84,304,101,321,105
00569.png,640,480,86,304,103,321,105
00570.png,640,480,87,304,104,322,105
00571.png,640,480,89,305,106,322,105
00572.png,640,480,90,305,107,323,105
00573.png,640,480,92,305,109,323,105
00574.png,640,480,93,306,110,323,105
00575.png,640,480,94,306,111,324,105
